Party	Seats	Seat-change	Votes	Vote-share %	Vote-share-change
Conservative	365	47	"13,966,451"	43.6	1.2
Labour	203	59	"10,295,912"	32.2	-7.8
Scottish National Party	48	13	"1,242,380"	3.9	0.8
Liberal Democrat	1	-1	"3,696,419"	11.5	4.2
Democratic Unionist Party	8	-2	"244,127"	0.8	-0.1
Sinn Féin	7	0	"181,853"	0.6	-0.2
Plaid Cymru	4	0	"153,265"	0.5	0.0
Social Democratic & Labour Party	2	2	"118,737"	0.4	0.1
Green	1	0	"865,707"	2.7	1.1
Alliance Part	1	1	"134,115"	0.4	0.2
The Brexit Party	0	0	"644,257"	2.0	2.0
Ulster Unionist Party	0	0	"93,123"	0.3	0.0
The Yorkshire Party	0	0	"29,201"	0.1	0.0
UKIP	0	0	"22,817"	0.1	-1.8
Liberal Party	0	0	"10,876"	0.0	0.0
Independent Group for Change	0	0	"10,006"	0.0	0.0
Aontú	0	0	"9,814"	0.0	0.0
Monster Raving Loony Party	0	0	"9,739"	0.0	0.0
Christian Peoples Alliance	0	0	"6,486"	0.0	0.0
Social Democratic Party	0	0	"3,295"	0.0	0.0
Animal Welfare Party	0	0	3086	0.0	0.0
English Democrats	0	0	"1,987"	0.0	0.0
Libertarian	0	0	"1,780"	0.0	0.0
Workers Revolutionary Party	0	0	524	0.0	0.0
Advance Together	0	0	351	0.0	0.0
Others	0	-1	"267,757"	0.8	0.7