Party	Conservative
Seats	365
Seat-change	47
Votes	"13,966,451"
Vote-share %	43.6
Vote-share-change	1.2
Party	Labour
Seats	203
Seat-change	59
Votes	"10,295,912"
Vote-share %	32.2
Vote-share-change	-7.8
Party	Scottish National Party
Seats	48
Seat-change	13
Votes	"1,242,380"
Vote-share %	3.9
Vote-share-change	0.8
Party	Liberal Democrat
Seats	1
Seat-change	-1
Votes	"3,696,419"
Vote-share %	11.5
Vote-share-change	4.2
Party	Democratic Unionist Party
Seats	8
Seat-change	-2
Votes	"244,127"
Vote-share %	0.8
Vote-share-change	-0.1
Party	Sinn Féin
Seats	7
Seat-change	0
Votes	"181,853"
Vote-share %	0.6
Vote-share-change	-0.2
Party	Plaid Cymru
Seats	4
Seat-change	0
Votes	"153,265"
Vote-share %	0.5
Vote-share-change	0.0
Party	Social Democratic & Labour Party
Seats	2
Seat-change	2
Votes	"118,737"
Vote-share %	0.4
Vote-share-change	0.1
Party	Green
Seats	1
Seat-change	0
Votes	"865,707"
Vote-share %	2.7
Vote-share-change	1.1
Party	Alliance Part
Seats	1
Seat-change	1
Votes	"134,115"
Vote-share %	0.4
Vote-share-change	0.2
Party	The Brexit Party
Seats	0
Seat-change	0
Votes	"644,257"
Vote-share %	2.0
Vote-share-change	2.0
Party	Ulster Unionist Party
Seats	0
Seat-change	0
Votes	"93,123"
Vote-share %	0.3
Vote-share-change	0.0
Party	The Yorkshire Party
Seats	0
Seat-change	0
Votes	"29,201"
Vote-share %	0.1
Vote-share-change	0.0
Party	UKIP
Seats	0
Seat-change	0
Votes	"22,817"
Vote-share %	0.1
Vote-share-change	-1.8
Party	Liberal Party
Seats	0
Seat-change	0
Votes	"10,876"
Vote-share %	0.0
Vote-share-change	0.0
Party	Independent Group for Change
Seats	0
Seat-change	0
Votes	"10,006"
Vote-share %	0.0
Vote-share-change	
Party	Aontú
Seats	0
Seat-change	0
Votes	"9,814"
Vote-share %	0.0
Vote-share-change	0.0
Party	Monster Raving Loony Party
Seats	0
Seat-change	0
Votes	"9,739"
Vote-share %	0.0
Vote-share-change	
Party	Christian Peoples Alliance
Seats	0
Seat-change	0
Votes	"6,486"
Vote-share %	0.0
Vote-share-change	0.0
Party	Social Democratic Party
Seats	0
Seat-change	0
Votes	"3,295"
Vote-share %	0.0
Vote-share-change	0.0
Party	
Seats	0
Seat-change	0
Votes	"3,086"
Vote-share %	0.0
Vote-share-change	
Party	English Democrats
Seats	0
Seat-change	0
Votes	"1,987"
Vote-share %	0.0
Vote-share-change	0.0
Party	Libertarian
Seats	0
Seat-change	0
Votes	"1,780"
Vote-share %	0.0
Vote-share-change	0.0
Party	Workers Revolutionary Party
Seats	0
Seat-change	0
Votes	524
Vote-share %	0.0
Vote-share-change	0.0
Party	Advance Together
Seats	0
Seat-change	0
Votes	351
Vote-share %	0.0
Vote-share-change	0.0
Party	Others
Seats	0
Seat-change	-1
Votes	"267,757"
Vote-share %	0.8
Vote-share-change	0.7