party	seats	votes	voteShare
Conservative	365	"13,966,451"	43.6
Labour	203	"10,295,912"	32.2
Scottish National Party	48	"1,242,380"	3.9
Liberal Democrat	11	"3,696,419"	11.5
Democratic Unionist Party	8	"244,127"	0.8
Sinn Féin	7	"181,853"	0.6
Plaid Cymru	4	"153,265"	0.5
Social Democratic & Labour Party	2	"118,737"	0.4
Green	1	"865,707"	2.7
Alliance Party	1	"134,115"	0.4
The Brexit Party	0	"644,257"	2.0
Ulster Unionist Party	0	"93,123"	0.3
The Yorkshire Party	0	"29,201"	0.1
UKIP	0	"22,817"	0.1
Liberal Party	0	"10,876"	0.0
Independent Group for Change	0	"10,006"	0.0
Aontú	0	"9,814"	0.0
Monster Raving Loony Party	0	"9,739"	0.0
Christian Peoples Alliance	0	"6,486"	0.0
Social Democratic Party	0	"3,295"	0.0
Animal Welfare Party	0	"3,086"	0.0
English Democrats	0	"1,987"	0.0
Libertarian	0	"1,780"	0.0
Workers Revolutionary Party	0	524	0.0
Advance Together	0	351	0.0
Others	0	"267,757"	0.8